index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.640625,75.5,133.640625,94.5,question,0,d
6,133.765625,80.5,148.765625,94.5,question,0,o
7,148.859375,80.5,162.859375,94.5,question,0,e
8,162.828125,80.5,174.828125,94.5,question,0,s
9,174.328125,94.5,181.328125,94.5,question,0, 
10,181.359375,77.5,190.359375,94.5,question,0,t
11,190.8125,75.5,205.8125,94.5,question,0,h
12,205.90625,80.5,219.90625,94.5,question,0,e
13,219.40625,94.5,226.40625,94.5,question,0, 
14,225.75,75.5,239.75,94.5,question,0,k
15,239.84375,80.5,253.84375,94.5,question,0,e
16,253.09375,80.5,266.09375,100.5,question,0,y
17,265.59375,94.5,272.59375,94.5,question,0, 
18,272.5625,80.5,284.5625,94.5,question,0,s
19,284.3125,80.5,297.3125,100.5,question,0,y
20,297.6875,80.5,320.6875,94.5,question,0,m
21,321.0625,75.5,336.0625,94.5,question,0,b
22,336.1875,80.5,351.1875,94.5,question,0,o
23,351.640625,75.5,357.640625,94.5,question,0,l
24,358.09375,75.5,364.09375,94.5,question,0,i
25,363.84375,80.5,375.84375,94.5,question,0,z
26,375.9375,80.5,389.9375,94.5,question,0,e
27,389.4375,94.5,396.4375,94.5,question,0, 
28,395.03125,75.5,405.03125,94.5,question,0,f
29,405.15625,80.5,420.15625,94.5,question,0,o
30,420.484375,80.5,430.484375,94.5,question,0,r
31,429.984375,94.5,436.984375,94.5,question,0, 
32,436.890625,76.5,450.890625,94.5,question,0,E
33,451.265625,80.5,474.265625,94.5,question,0,m
34,474.640625,80.5,497.640625,94.5,question,0,m
35,497.671875,80.5,511.671875,94.5,question,0,a
36,511.515625,76.5,522.515625,94.5,question,0,?
37,99.96875,216.5,115.96875,234.5,option:0,0,A
38,115.46875,234.5,122.46875,234.5,option:0,0, 
39,122.125,220.5,142.125,234.5,option:0,0,w
40,142.15625,220.5,156.15625,234.5,option:0,0,a
41,155.90625,220.5,168.90625,240.5,option:0,0,y
42,168.40625,234.5,175.40625,234.5,option:0,0, 
43,175.4375,217.5,184.4375,234.5,option:0,0,t
44,184.5625,220.5,199.5625,234.5,option:0,0,o
45,199.0625,234.5,206.0625,234.5,option:0,0, 
46,206.390625,220.5,216.390625,234.5,option:0,0,r
47,215.984375,220.5,229.984375,234.5,option:0,0,e
48,230.4375,215.5,236.4375,234.5,option:0,0,l
49,236.890625,215.5,242.890625,234.5,option:0,0,i
50,242.59375,220.5,255.59375,234.5,option:0,0,v
51,255.6875,220.5,269.6875,234.5,option:0,0,e
52,269.1875,234.5,276.1875,234.5,option:0,0, 
53,276.640625,215.5,291.640625,234.5,option:0,0,h
54,291.734375,220.5,305.734375,234.5,option:0,0,e
55,306.0625,220.5,316.0625,234.5,option:0,0,r
56,315.5625,234.5,322.5625,234.5,option:0,0, 
57,322.9375,220.5,337.9375,240.5,option:0,0,p
58,337.96875,220.5,351.96875,234.5,option:0,0,a
59,351.9375,220.5,363.9375,234.5,option:0,0,s
60,363.96875,217.5,372.96875,234.5,option:0,0,t
61,372.46875,234.5,379.46875,234.5,option:0,0, 
62,378.0625,215.5,388.0625,234.5,option:0,0,f
63,388.09375,220.5,402.09375,234.5,option:0,0,a
64,402.546875,215.5,408.546875,234.5,option:0,0,i
65,409.0,215.5,415.0,234.5,option:0,0,l
66,415.453125,220.5,430.453125,234.5,option:0,0,u
67,430.78125,220.5,440.78125,234.5,option:0,0,r
68,440.375,220.5,454.375,234.5,option:0,0,e
69,454.34375,220.5,466.34375,234.5,option:0,0,s
70,99.96875,286.5,115.96875,304.5,option:1,0,A
71,115.46875,304.5,122.46875,304.5,option:1,0, 
72,122.796875,290.5,132.796875,304.5,option:1,0,r
73,132.390625,290.5,146.390625,304.5,option:1,0,e
74,145.546875,290.5,165.546875,304.5,option:1,0,w
75,165.578125,290.5,179.578125,304.5,option:1,0,a
76,179.90625,290.5,189.90625,304.5,option:1,0,r
77,189.78125,285.5,204.78125,304.5,option:1,0,d
78,204.28125,304.5,211.28125,304.5,option:1,0, 
79,209.875,285.5,219.875,304.5,option:1,0,f
80,220.0,290.5,235.0,304.5,option:1,0,o
81,235.328125,290.5,245.328125,304.5,option:1,0,r
82,244.828125,304.5,251.828125,304.5,option:1,0, 
83,252.28125,285.5,267.28125,304.5,option:1,0,h
84,267.375,290.5,281.375,304.5,option:1,0,e
85,281.703125,290.5,291.703125,304.5,option:1,0,r
86,291.203125,304.5,298.203125,304.5,option:1,0, 
87,298.65625,285.5,313.65625,304.5,option:1,0,h
88,313.6875,290.5,327.6875,304.5,option:1,0,a
89,328.015625,290.5,338.015625,304.5,option:1,0,r
90,337.890625,285.5,352.890625,304.5,option:1,0,d
91,352.390625,304.5,359.390625,304.5,option:1,0, 
92,359.046875,290.5,379.046875,304.5,option:1,0,w
93,379.171875,290.5,394.171875,304.5,option:1,0,o
94,394.5,290.5,404.5,304.5,option:1,0,r
95,403.84375,285.5,417.84375,304.5,option:1,0,k
96,100.125,356.5,115.125,374.5,option:2,0,P
97,115.453125,360.5,125.453125,374.5,option:2,0,r
98,125.078125,360.5,140.078125,374.5,option:2,0,o
99,140.203125,360.5,155.203125,374.5,option:2,0,o
100,153.796875,355.5,163.796875,374.5,option:2,0,f
101,163.296875,374.5,170.296875,374.5,option:2,0, 
102,170.265625,360.5,182.265625,374.5,option:2,0,s
103,182.71875,355.5,197.71875,374.5,option:2,0,h
104,197.8125,360.5,211.8125,374.5,option:2,0,e
105,211.3125,374.5,218.3125,374.5,option:2,0, 
106,218.765625,355.5,224.765625,374.5,option:2,0,i
107,224.734375,360.5,236.734375,374.5,option:2,0,s
108,236.234375,374.5,243.234375,374.5,option:2,0, 
109,243.609375,355.5,258.609375,374.5,option:2,0,b
110,258.703125,360.5,272.703125,374.5,option:2,0,e
111,272.734375,357.5,281.734375,374.5,option:2,0,t
112,281.765625,357.5,290.765625,374.5,option:2,0,t
113,290.859375,360.5,304.859375,374.5,option:2,0,e
114,305.1875,360.5,315.1875,374.5,option:2,0,r
115,314.6875,374.5,321.6875,374.5,option:2,0, 
116,321.71875,357.5,330.71875,374.5,option:2,0,t
117,331.171875,355.5,346.171875,374.5,option:2,0,h
118,346.203125,360.5,360.203125,374.5,option:2,0,a
119,360.65625,360.5,375.65625,374.5,option:2,0,n
120,375.15625,374.5,382.15625,374.5,option:2,0, 
121,382.28125,360.5,397.28125,374.5,option:2,0,o
122,397.3125,357.5,406.3125,374.5,option:2,0,t
123,406.765625,355.5,421.765625,374.5,option:2,0,h
124,421.859375,360.5,435.859375,374.5,option:2,0,e
125,436.1875,360.5,446.1875,374.5,option:2,0,r
126,446.15625,360.5,458.15625,374.5,option:2,0,s
127,99.96875,426.5,115.96875,444.5,option:3,0,A
128,115.46875,444.5,122.46875,444.5,option:3,0, 
129,122.46875,430.5,134.46875,444.5,option:3,0,c
130,134.921875,425.5,149.921875,444.5,option:3,0,h
131,149.953125,430.5,163.953125,444.5,option:3,0,a
132,164.40625,430.5,179.40625,444.5,option:3,0,n
133,179.40625,430.5,191.40625,444.5,option:3,0,c
134,191.5,430.5,205.5,444.5,option:3,0,e
135,205.0,444.5,212.0,444.5,option:3,0, 
136,210.59375,425.5,220.59375,444.5,option:3,0,f
137,220.71875,430.5,235.71875,444.5,option:3,0,o
138,236.046875,430.5,246.046875,444.5,option:3,0,r
139,245.546875,444.5,252.546875,444.5,option:3,0, 
140,252.578125,430.5,266.578125,444.5,option:3,0,a
141,266.078125,444.5,273.078125,444.5,option:3,0, 
142,273.53125,430.5,288.53125,444.5,option:3,0,n
143,288.625,430.5,302.625,444.5,option:3,0,e
144,301.78125,430.5,321.78125,444.5,option:3,0,w
145,321.28125,444.5,328.28125,444.5,option:3,0, 
146,328.65625,425.5,343.65625,444.5,option:3,0,b
147,343.75,430.5,357.75,444.5,option:3,0,e
148,358.125,430.5,373.125,450.5,option:3,0,g
149,373.578125,425.5,379.578125,444.5,option:3,0,i
150,380.03125,430.5,395.03125,444.5,option:3,0,n
151,395.484375,430.5,410.484375,444.5,option:3,0,n
152,410.9375,425.5,416.9375,444.5,option:3,0,i
153,417.390625,430.5,432.390625,444.5,option:3,0,n
154,432.765625,430.5,447.765625,450.5,option:3,0,g
